"key","value","index"
"22-W34",0.882,67
"22-W34",0.868,68
"22-W34",0.841,69
"22-W34",0.817,70
"22-W34",0.846,71
"22-W34",0.873,72
"22-W34",0,73
"22-W34",0,74
"22-W34",0.801,75
"22-W34",0.825,76
"22-W34",0.868,77
"22-W34",0.948,78
"22-W34",0.994,79
"22-W34",0.995,80
"23-W35",0.794,1
"23-W35",0.77,2
"23-W35",0.799,3
"23-W35",0.817,4
"23-W35",0.877,5
"23-W35",0.951,6
"23-W35",1.027,7
"23-W35",1.022,8
"23-W35",1.015,9
"23-W35",0.993,10
"23-W35",0.931,11
"23-W35",0.899,12
"23-W35",0.892,13
"23-W35",0.896,14
"23-W35",0.874,15
"23-W35",0.899,16
"23-W35",0.903,17
"23-W35",0.918,18
"23-W35",0.895,19
"23-W35",0.874,20
"23-W35",0.836,21
"23-W35",0.819,22
"23-W35",0.88,23
"23-W35",0.848,24
"23-W35",0.804,25
"23-W35",0.765,26
"23-W35",0.781,27
"23-W35",0.814,28
"23-W35",0.858,29
"23-W35",0.933,30
"23-W35",0.971,31
"23-W35",0.985,32
"23-W35",1.005,33
"23-W35",0.982,34
"23-W35",0.97,35
"23-W35",0.933,36
"23-W35",0.952,37
"23-W35",0.924,38
"23-W35",0.875,39
"23-W35",0.881,40
"23-W35",0.898,41
"23-W35",0.944,42
"23-W35",0.931,43
"23-W35",0.894,44
"23-W35",0.863,45
"23-W35",0.831,46
"23-W35",0.821,47
"23-W35",0.813,48
"23-W35",0.845,49
"23-W35",0.806,50
"23-W35",0.821,51
"23-W35",0.844,52
"23-W35",0.868,53
"23-W35",0.957,54
"23-W35",0.982,55
"23-W35",0.975,56
"23-W35",0.971,57
"23-W35",0.97,58
"23-W35",0.945,59
"23-W35",0.949,60
"23-W35",0.917,61
"23-W35",0.924,62
"23-W35",0.895,63
"23-W35",0.88,64
"23-W35",0.864,65
"23-W35",0.863,66
"23-W35",0.886,67
"23-W35",0.872,68
"23-W35",0.845,69
"23-W35",0.821,70
"23-W35",0.85,71
"23-W35",0.877,72
"23-W35",0,73
"23-W35",0,74
"23-W35",0.801,75
"23-W35",0.825,76
"23-W35",0.868,77
"23-W35",0.948,78
"23-W35",0.994,79
"23-W35",0.995,80
"24-W32",0,1
"24-W32",0,2
"24-W32",0,3
"24-W32",0,4
"24-W32",0,5
"24-W32",0,6
"24-W32",0,7
"24-W32",0,8
"24-W32",0,9
"24-W32",0,10
"24-W32",0,11
"24-W32",0,12
"24-W32",0,13
"24-W32",0,14
"24-W32",0,15
"24-W32",0,16
"24-W32",0,17
"24-W32",0,18
"24-W32",0,19
"24-W32",0,20
"24-W32",0,21
"24-W32",0,22
"24-W32",0,23
"24-W32",0,24
"24-W32",0,25
"24-W32",0,26
"24-W32",0,27
"24-W32",0,28
"24-W32",0,29
"24-W32",0,30
"24-W32",0,31
"24-W32",0,32
"24-W32",0,33
"24-W32",0,34
"24-W32",0,35
"24-W32",0,36
"24-W32",0,37
"24-W32",0,38
"24-W32",0,39
"24-W32",0,40
"24-W32",0,41
"24-W32",0,42
"24-W32",0,43
"24-W32",0,44
"24-W32",0,45
"24-W32",0,46
"24-W32",0,47
"24-W32",0,48
"24-W32",0,49
"24-W32",0,50
"24-W32",0,51
"24-W32",0,52
"24-W32",0,53
"24-W32",0,54
"24-W32",0.395,55
"24-W32",0.723,56
"24-W32",0.784,57
"24-W32",0.822,58
"24-W32",0.787,59
"24-W32",0.848,60
"24-W32",0.848,61
"24-W32",0.859,62
"24-W32",0.757,63
"24-W32",0.85,64
"24-W32",0.786,65
"24-W32",0.805,66
"24-W32",0.752,67
"24-W32",0.811,68
"24-W32",0.412,69
"24-W32",0.001,70
"24-W32",0.001,71
"24-W32",0.001,72
"24-W32",0.001,73
"24-W32",0.001,74
"24-W32",0.001,75
"24-W32",0.001,76
"24-W32",0.001,77
"24-W32",0.001,78
"24-W32",0.001,79
"24-W32",0.001,80
"25-W38",0,1
"25-W38",0,2
"25-W38",0,3
"25-W38",0,4
"25-W38",0,5
"25-W38",0,6
"25-W38",0,7
"25-W38",0,8
"25-W38",0,9
"25-W38",0,10
"25-W38",0,11
"25-W38",0,12
"25-W38",0,13
"25-W38",0,14
"25-W38",0,15
"25-W38",0,16
"25-W38",0,17
"25-W38",0,18
"25-W38",0,19
"25-W38",0,20
"25-W38",0,21
"25-W38",0,22
"25-W38",0,23
"25-W38",0,24
"25-W38",0,25
"25-W38",0,26
"25-W38",0,27
"25-W38",0,28
"25-W38",0,29
"25-W38",0,30
"25-W38",0,31
"25-W38",0,32
"25-W38",0,33
"25-W38",0,34
"25-W38",0,35
"25-W38",0,36
"25-W38",0,37
"25-W38",0,38
"25-W38",0,39
"25-W38",0,40
"25-W38",0,41
"25-W38",0,42
"25-W38",0,43
"25-W38",0,44
"25-W38",0,45
"25-W38",0,46
"25-W38",0,47
"25-W38",0,48
"25-W38",0,49
"25-W38",0,50
"25-W38",0,51
"25-W38",0,52
"25-W38",0,53
"25-W38",0,54
"25-W38",0,55
"25-W38",0,56
"25-W38",0,57
"25-W38",0,58
"25-W38",0,59
"25-W38",0,60
"25-W38",0,61
"25-W38",0,62
"25-W38",0,63
"25-W38",0,64
"25-W38",0,65
"25-W38",0,66
"25-W38",0,67
"25-W38",0,68
"25-W38",0,69
"25-W38",0,70
"25-W38",0,71
"25-W38",0,72
"25-W38",0,73
"25-W38",0,74
"25-W38",0,75
"25-W38",0,76
"25-W38",0,77
"25-W38",0,78
"25-W38",0,79
"25-W38",0,80
"26-W31",0.968,1
"26-W31",0.928,2
"26-W31",1.008,3
"26-W31",1.027,4
"26-W31",1.034,5
"26-W31",1.047,6
"26-W31",1.063,7
"26-W31",1.091,8
"26-W31",1.053,9
"26-W31",1.037,10
"26-W31",0.998,11
"26-W31",1.007,12
"26-W31",0.988,13
"26-W31",0.976,14
"26-W31",1.016,15
"26-W31",1.055,16
"26-W31",0.991,17
"26-W31",0.96,18
"26-W31",0.987,19
"26-W31",0.936,20
"26-W31",0.946,21
"26-W31",0.916,22
"26-W31",0.991,23
"26-W31",0.927,24
"26-W31",1.016,25
"26-W31",0.976,26
"26-W31",1.023,27
"26-W31",1.088,28
"26-W31",1.089,29
"26-W31",1.1,30
"26-W31",1.122,31
"26-W31",1.089,32
"26-W31",1.078,33
"26-W31",1.094,34
"26-W31",1.047,35
"26-W31",1.075,36
"26-W31",1.107,37
"26-W31",1.075,38
"26-W31",1.056,39
"26-W31",1.048,40
"26-W31",1.051,41
"26-W31",1.046,42
"26-W31",1.044,43
"26-W31",1.031,44
"26-W31",1.052,45
"26-W31",1.024,46
"26-W31",0.986,47
"26-W31",0.993,48
"26-W31",0.894,49
"26-W31",0.835,50
"26-W31",0.922,51
"26-W31",0.869,52
"26-W31",0.887,53
"26-W31",0.923,54
"26-W31",0.93,55
