"id","x","y","z","demand","pattern"
"10072",43684.68,28355.73,9.843,0.49617395,"1"
"10073",43653.96,28480.5,9.843,0.17226814,"1"
"10074",43724.59,28474,9.843,0.74681949,"1"
"10075",43658.29,28832.06,11.204,0.13268198,"1"
"10076",43671.43,28789.15,11.45,0.26536395,"1"
"10077",43959.73,28454.65,9.843,0.59622756,"1"
"10078",43767.82,28739.46,9.843,0.95276173,"1"
"10079",43945.12,28415.58,9.843,0.3270855,"1"
"1008",8866.63,14526.5,39.37,1.24969769,"1"
"10080",44068.76,28445.47,9.843,0.89910544,"1"
"10081",44013.28,28448.05,9.843,0.1918104,"1"
"10082",44035.61,28646.72,9.843,0.77223134,"1"
"10083",43811.59,29287.25,9.843,0.32245866,"1"
"10084",43808.51,29427.84,9.843,0.64491731,"1"
"10085",44177.04,29259.21,6.562,0.55781847,"1"
"10086",44155.79,29251.79,6.562,0.78485431,"1"
"10087",44181.24,29306.23,6.562,0.19706787,"1"
"10088",44129.05,29460.37,5.663,0.39413575,"1"
"10089",44201.32,28434.97,9.843,0.56343725,"1"
"1009",8905.59,14466.94,39.37,0.16861005,"1"
"10090",44178.49,27992.95,9.843,0.40182008,"1"
"10091",44192.93,28433.83,9.843,0.0309689,"1"
"10092",44107.16,28441.32,9.843,0.06193781,"1"
"10093",44421.58,28422.45,9.843,0.16161716,"1"
"10094",44421.62,28416.99,9.843,0.41643953,"1"
"10095",44421.32,28466.89,9.843,0.05231128,"1"
"10096",44624.82,28398.91,9.843,0.46535673,"1"
"10097",44635.3,28055.45,6.562,0.26224236,"1"
"10098",44651.48,28205.63,7.992,0.18335386,"1"
"10099",44667.43,28394.79,9.843,0.47516375,"1"
"101",1636.7,9081.92,45.932,0.24882945,"1"
"1010",8894.85,14486.19,39.37,0.06336933,"1"
"10100",44415.84,28678.15,9.843,0.16590129,"1"
"10101",44417.95,28654.48,9.843,0.10462256,"1"
"10102",44415.73,28696.36,9.843,0.4103302,"1"
"10103",44548.28,28688.78,9.843,0.24674762,"1"
"10104",44403.63,29264.58,4.452,0.61365809,"1"
"10105",44243.4,29263.61,5.935,0.33078263,"1"
"10106",44394.5,29710.41,6.562,0.84773961,"1"
"10107",44400.01,29492.6,4.616,0.07587315,"1"
"10108",44406.13,29221.61,5.545,0.8206604,"1"
"10109",43779.59,29624.75,5.049,0.57391603,"1"
"1011",8543.63,15531.16,42.651,0.30514695,"1"
"10110",44105.36,29813.22,9.334,0.62604654,"1"
"10111",43801.65,30243.45,12.897,0.24886264,"1"
"10112",43805.55,30294.83,13.068,0.49772528,"1"
"10113",43774.89,30408.67,13.123,0.82906498,"1"
"10114",43822.33,31045.37,8.35,0.40182008,"1"
"10115",43844.71,30863.36,12.972,0.53942107,"1"
"10116",43844.77,30853.89,13.123,0.27520198,"1"
"10117",44088.86,30414.56,13.468,0.54353855,"1"
"10118",44007.89,30416.99,15.023,0.20401271,"1"
"10119",43950.54,30686.22,14.209,0.13760099,"1"
"1012",8592.9,15484.03,42.651,0.15788317,"1"
"10120",43956.96,30689.17,14.14,0.06510323,"1"
"10121",43976.25,30694.75,13.999,0.13020646,"1"
"10122",44087.83,30585.77,13.737,0.13020646,"1"
"10123",44091.95,30646.63,12.425,0.27589137,"1"
"10124",44093.63,30692.54,11.191,0.19239236,"1"
"10125",43969.58,30733.69,13.051,0.66971736,"1"
"10126",43976.43,30992.01,9.728,0.66971736,"1"
"10127",44101.88,30765.09,9.931,0.25457827,"1"
"10128",44096.43,30973.43,7.172,0.46749431,"1"
"10129",44097.52,31118.06,6.549,0.14514074,"1"
"1013",8734.8,15342.97,42.651,0.63840179,"1"
"10130",44386.02,30420.72,15.069,1.07117361,"1"
"10131",44381.28,30137.28,10.184,1.23392737,"1"
"10132",44653.01,29716.34,6.562,0.19283936,"1"
"10133",44157.48,30416.43,13.123,0.75285793,"1"
"10134",44610.77,30729.17,9.931,0.44109818,"1"
"10135",44305.47,30679.98,11.142,0.42157628,"1"
"10136",44201.22,30921.24,8.281,0.39012887,"1"
"10137",44460.8,30422.63,15.105,0.09377767,"1"
"10138",44595.52,30424.54,13.301,0.36092887,"1"
"10139",44567.5,30425.82,13.878,0.03199342,"1"
