"name","demand","degree","strength","closeness","betweenness","eccentricity","tank_distance"
"11789",0.35626163,2,330.004,2.61880572258636e-09,10970346,281,60
"11790",0.35626163,2,263.494,2.63072218756966e-09,10979789,280,59
"11791",0.35626163,2,105.637,2.63680404826843e-09,10990121,279,58
"11792",0.4243261,2,311.491,2.61689668844603e-09,74960,278,61
"11793",0.00909964,2,741.534,2.65013266328035e-09,11134761,276,55
"11794",0.00909964,2,163.934,2.64327737777048e-09,11124434,277,56
"11795",0.10019647,2,219.736,2.71156672511542e-09,209762,273,56
"11796",0.16367986,2,75.874,2.72473874534563e-09,4365570,275,54
"11797",0.213121,2,275.699,2.70385161896149e-09,20117,287,46
"11798",0.41438085,3,547.122,2.74250442520828e-09,18967518,291,45
"118",0.22511781,2,352.075,1.8635015016348e-09,33397,363,146
"1180",0.19391744,2,56.391,2.15673422702249e-09,178512,328,16
"11800",0.45144486,2,223.295,2.73536584177402e-09,324059,285,42
"11801",0.22517826,2,159.127,2.72433456729239e-09,21742,291,46
"11802",0.22517826,2,138.947,2.73346731505083e-09,30534,292,47
"11803",0.05987623,2,98.023,2.74055918245805e-09,3660716,276,51
"11804",0.05987623,2,48.361,2.7428457651631e-09,3672913,275,50
"11805",0.45314931,2,597.279,2.75314508771975e-09,7869123,272,47
"11806",0.26349256,2,238.663,2.7295735483699e-09,47103,286,43
"11807",0.26349256,2,159.69,2.73718819218952e-09,58391,285,42
"11808",0,2,156.937,2.79437849006588e-09,11390813,278,37
"11809",0,2,107.859,2.79017064654864e-09,10819471,274,41
"1181",0.42209555,4,254.872,2.1529749911244e-09,164152,327,15
"11810",0.11353997,2,29.44,2.78605376603631e-09,972085,273,43
"11811",0.12151422,2,222.055,2.72552834047059e-09,170714,276,43
"11812",0.11165217,2,96.235,2.76999340589287e-09,948481,268,48
"11813",0.11165217,2,136.126,2.77150788777328e-09,952970,269,47
"11814",0.11165217,2,245.946,2.7746965977807e-09,957473,270,46
"11815",0.12662907,2,166.351,2.70858942551467e-09,14996,268,55
"11816",0.06331454,1,115.964,2.69589116731759e-09,0,269,56
