"chain_id","vertex_name"
128,"15059"
128,"10278"
129,"1028"
130,"10280"
130,"15062"
130,"10284"
130,"10283"
131,"10285"
131,"15063"
131,"15064"
131,"15065"
131,"15066"
131,"15067"
132,"10289"
132,"15068"
132,"15069"
132,"15070"
132,"10292"
133,"10291"
133,"15071"
134,"10294"
135,"10295"
135,"10418"
135,"15116"
135,"15117"
136,"10307"
136,"10297"
136,"10296"
137,"10307"
137,"10297"
137,"10296"
137,"10299"
138,"10300"
139,"10302"
140,"10305"
140,"15072"
141,"10306"
141,"15073"
141,"15074"
142,"1031"
142,"1038"
142,"11159"
142,"11160"
143,"15076"
143,"10312"
143,"10311"
144,"10316"
145,"10317"
145,"15077"
145,"15078"
146,"11151"
146,"11150"
146,"1032"
147,"10322"
147,"10324"
147,"10325"
148,"10323"
148,"10327"
149,"10329"
150,"10332"
150,"15081"
151,"10333"
151,"10346"
152,"10335"
153,"10337"
154,"10339"
155,"1034"
155,"11152"
155,"11153"
155,"11154"
155,"11155"
156,"10341"
156,"10342"
157,"10348"
158,"1035"
158,"11156"
158,"11157"
158,"11158"
159,"10350"
160,"10351"
160,"10352"
160,"15084"
160,"10361"
161,"10354"
161,"10374"
161,"10375"
162,"10355"
163,"10364"
163,"15086"
164,"10365"
165,"1037"
165,"1039"
165,"1040"
166,"10372"
166,"15087"
166,"15088"
166,"15089"
167,"10383"
168,"10384"
168,"15094"
168,"15093"
168,"15092"
168,"15091"
168,"10392"
169,"10386"
169,"15090"
169,"10387"
169,"10388"
170,"10391"
171,"10393"
171,"10394"
172,"10396"
172,"15095"
172,"15096"
172,"15097"
172,"15098"
172,"15099"
172,"10397"
172,"10398"
172,"15100"
172,"15101"
172,"15102"
172,"15103"
172,"15104"
172,"15105"
173,"10399"
173,"10400"
173,"15106"
174,"104"
174,"10520"
174,"10521"
174,"10522"
175,"10402"
176,"10403"
177,"10405"
177,"15107"
178,"10407"
178,"15108"
179,"10409"
179,"15109"
180,"10411"
180,"15110"
181,"10413"
182,"10414"
182,"15111"
183,"10415"
183,"15112"
184,"10417"
184,"15113"
184,"15114"
184,"15115"
185,"1042"
186,"10420"
187,"10424"
187,"10427"
187,"10428"
187,"15119"
187,"10425"
187,"10426"
187,"15118"
188,"10429"
188,"4"
189,"10430"
189,"8"
190,"10432"
190,"10431"
191,"14"
191,"10434"
192,"17"
192,"10435"
193,"10438"
193,"10437"
193,"10436"
194,"23"
194,"10439"
195,"10442"
195,"10441"
195,"10440"
196,"10448"
196,"10447"
196,"10446"
196,"10445"
196,"10444"
196,"10443"
197,"30"
197,"10449"
198,"1045"
199,"10453"
199,"10452"
199,"10451"
199,"10450"
200,"10454"
200,"36"
200,"35"
200,"10471"
200,"10470"
200,"10469"
200,"10468"
200,"41"
201,"10467"
201,"10466"
201,"10465"
201,"10464"
201,"10463"
201,"10462"
201,"10461"
201,"10460"
201,"10459"
201,"10458"
201,"10457"
201,"10456"
202,"43"
202,"10472"
203,"45"
203,"10473"
204,"10477"
204,"10476"
204,"10475"
204,"10474"
205,"10482"
205,"10481"
205,"10480"
205,"10479"
